DATE,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,windspeed
19790311,7,0.2,48,10.7,8.2,2.7,0,100110,16.4
19790312,5,4.8,115,4.9,7.2,3.7,1.1,100880,15.6
19790313,8,0,42,3.8,4.6,4.4,20.3,100800,10
19790314,8,0,43,2.5,2.8,1.8,0.5,100580,7.7
19790315,8,0,43,1.3,1.8,1.2,3.1,100020,22.1
19790316,8,0,44,6.9,0.7,0.1,11.8,99160,15.5
19790317,5,4.3,116,9.1,3.5,0.1,0.3,99460,12.7
19790318,6,4.4,119,6.1,5.1,1.1,0.7,99970,10.2
19790319,7,0.2,54,11,4.2,2.4,1,100230,
19790320,6,4,116,8.5,7,3,2.4,99550,11
19790321,4,6.7,149,9.6,5.7,2.9,3.3,99490,
19790322,4,6,143,9.2,5,0.5,0.1,100520,10.2
19790323,1,10.7,194,11.5,3.1,-3,0,101660,1
19790324,5,7,158,15.3,5,-1.6,9.1,101330,11.1
19790325,7,0.7,70,8,10.2,5,0.2,99040,12.7
19790326,7,1.4,85,11.3,6.2,4.3,5.4,98870,13.9
19790327,6,5.8,148,8.1,7.2,3,4.2,98270,
19790328,7,3.1,114,7.6,4.8,1.4,4.1,98400,16.8
19790329,8,0.7,74,7.6,4.8,1.9,3.3,99540,20.4
19790330,8,0,53,10.6,5.5,3.4,0.7,101330,21.8
19790331,7,0.2,62,11.6,5.4,0.3,0.1,101270,15.3
19790401,6,2.7,112,8.3,8,4.5,2.8,100890,7.6
19790402,5,3.4,124,8.6,4.4,0.5,3,100240,9.8
19790403,5,3.1,121,7.9,3.8,-1.1,0,99910,12.8
19790404,4,2.7,116,8,4,0,0,100270,17.9
19790405,6,2.1,107,7.9,4,0,0.1,100920,22.8
19790406,5,0.1,63,9.8,3.1,-1.7,0,101170,19.6
19790407,8,2.3,112,9.3,5.8,1.8,28.5,101230,13.6
19790408,8,0,58,13.7,6.8,4.2,7.8,101100,7.4
19790409,8,1.8,105,16.1,9.5,5.3,0,100480,4.6
19790410,7,1.3,96,15.9,11.8,7.5,8.4,99850,21.3
19790411,6,5.1,159,12.8,13.1,10.3,0.2,99720,16.3
19790412,5,4.8,156,17.5,10.1,7.4,1.9,100420,9.9
19790413,7,5.9,173,21.7,12.8,8,0,101140,13.2
19790414,6,9.4,219,22.4,15.2,8.6,0,101360,13.5
19790415,6,8.1,205,15.2,15.3,8.2,0,102270,9.3
19790416,5,9.9,228,9,11.3,7.4,0,102730,19
19790417,7,0,64,13.2,7.3,5.6,0,102910,12.1
19790418,3,10.9,243,14.5,7.2,1.2,0,103120,21
19790419,7,0.7,90,12.7,10.2,5.9,1.4,102630,13.2
19790420,7,2.4,126,12.3,10.6,8.4,0,101980,12.2
19790421,6,0.3,80,13.5,8,3.7,0,101370,15.3
19790422,7,4.3,160,13.5,8.7,3.9,5,100750,
19790423,7,0.4,84,11.5,11,8.4,11.6,99390,
19790424,6,2.9,139,11.4,9,6.5,0.9,99640,8.5
19790425,6,5.8,186,12,7.4,3.5,2.9,100740,
19790426,6,5.5,182,12,8.6,5.2,0.1,101940,15.5
19790427,6,2.8,139,12.6,9.3,6.6,2.4,102830,10.1
19790428,7,0.8,98,13.9,9.8,6.9,0.4,101900,10.8
19790429,6,0.1,76,10.9,8,2.1,0.1,101240,10.6
19790430,6,6.7,204,7.5,8.2,5.5,0.1,100820,11
19790501,8,0.3,86,8,5.6,3.8,14.2,100280,8.8
19790502,5,7.2,214,10,4.6,1.1,1.4,100480,13.7
19790503,3,9.4,245,9.1,4.6,-0.9,0,100930,16.5
19790504,3,9.9,252,11.1,4.4,-0.3,0.4,101590,16.5
19790505,4,9.1,243,12.4,6.4,1.7,0,102060,16.5
19790506,4,8.8,240,15,6.7,1,0,102340,19.4
19790507,7,5.9,199,16,9.4,3.9,0,102110,12.2
19790508,7,3.2,156,15.6,11.2,6.4,0,101960,9.9
19790509,4,8.4,237,13.6,10,4.5,0,102300,8.4
19790510,8,0.5,97,16.1,10.4,7.3,17.8,102700,7.9
19790511,8,0.1,82,20.8,12.6,9.2,0.4,102230,13.6
19790512,7,4.9,188,23.4,16,11.2,0,103000,20.5
19790513,4,13,301,26.1,17.4,11.5,0,103160,12
19790514,2,14.2,311,26.2,18.5,10.9,0,102810,6.7
19790515,3,13.4,308,22.5,19.6,12.9,0,101770,8.1
19790516,6,6.7,219,15.2,17.4,12.4,1.1,100410,9.6
19790517,5,10,266,16,11.8,8.5,0.2,100130,15.6
19790518,4,10.7,276,17.2,12.2,8.3,0,100910,26.1
19790519,1,14.3,303,14,10.9,4.6,0.5,101780,16.2
19790520,7,0,79,15.1,11.2,8.5,15.5,100650,16.7
19790521,6,6.3,216,15.8,11.8,8.4,7.1,100470,10.5
19790522,6,8.7,252,14.3,11.7,7.6,3.9,100790,9.4
19790523,5,6,212,14.6,11.8,9.4,1.3,100440,14.2
19790524,4,10,271,13.4,11,7.3,5.7,100620,
19790525,5,8.5,251,15.5,9.4,5.4,5.6,100560,10.7
19790526,7,0.9,115,15.9,11,6.6,5.6,100080,21.4
19790527,4,3.3,168,15.9,11.3,6.7,0,100520,11.6
19790528,6,1.3,126,18.6,11.6,7.2,4.2,100910,24
19790529,7,3.3,169,20.1,15.8,13,0.1,101160,21.2
19790530,7,1.7,136,16.2,16.1,12.1,2,101390,14.9
19790531,7,0.6,108,18.7,13.8,11.5,0,101700,7.8
19790601,6,6.8,230,21.2,13.6,8.4,1.9,102750,9.4
19790602,7,5.9,216,19.2,16.4,11.5,0,102760,18.2
19790603,8,2,145,19.3,15,10.8,0,102290,13.7
19790604,7,0,80,20.4,15.9,12.5,0,101790,8
19790605,6,6.2,222,16.7,16.5,12.6,0,101830,14.4
19790606,5,7.3,239,14.4,12.5,8.3,0,101870,8
19790607,5,2.5,157,17.2,12,9.5,5.7,101790,13.2
19790608,6,3.8,182,18.7,12.2,7.3,0,101740,10.7
19790609,7,0.3,98,17.9,15.4,12.2,0,101720,16.8
19790610,7,2.5,157,16.2,15,12.1,4,101930,10.7
19790611,7,0.2,94,15.4,13,9.7,0.1,102020,14.2
19790612,7,0,81,18.1,12.4,9.4,7.9,101940,17.5
19790613,8,0.6,110,16.4,15.3,12.5,7.2,101150,18.5
19790614,7,1.2,127,16.1,14.4,12.5,2.1,100630,20.3
19790615,6,3.2,172,19.2,11.8,7.4,4.5,100650,17.8
19790616,6,5.8,218,20.7,14.6,9.9,0,102150,12.9
19790617,7,0.6,110,22.6,17,13.3,0,102920,10.1
19790618,5,6.2,224,25.5,18.7,14.8,0,102960,
19790619,1,9.8,277,25.8,19,12.6,0,102570,11.6
19790620,2,11.3,297,19.4,19,12.2,0,102030,12.7
19790621,6,0.6,110,20.1,17,14.6,0.9,101500,11.3
19790622,1,15,343,19.5,15.2,10.3,0,101730,21
19790623,5,6.1,223,16.6,14.9,10.3,0,101270,21.7
19790624,5,5.5,213,18.5,13.8,11,1.2,100720,20.1
19790625,5,8.6,260,19.9,14,9.5,2.1,101250,14.1
19790626,6,7.5,244,21.4,15.2,10.5,0,101640,5.7
19790627,5,5.9,219,20.8,16,10.6,0,101970,8.1
19790628,4,9.3,269,17.6,15.5,10.2,0,102070,7.8
19790629,6,5.5,212,16.6,15.8,13.9,0,101890,8.5
19790630,7,0.1,89,18.5,14.1,11.6,0,102260,8.9
19790701,5,3.6,179,18.7,13.8,9,0,102510,12
19790702,5,4.7,198,22.1,15.1,11.5,0,102390,8.3
19790703,5,7.1,236,23.4,16.9,11.7,0,102470,8.6
19790704,4,6.3,224,25.5,18.4,13.4,0,102840,8.8
19790705,2,12.5,285,25.1,19.3,13.1,0,102970,
19790706,4,8.5,256,21.9,19.6,14.1,0,102680,8.6
19790707,6,5.5,210,23.1,17.6,13.4,0,102140,9.1
19790708,7,5.6,212,20.8,18,13,0.5,101970,17.7
19790709,6,8.1,249,22,18.6,16.5,0,101820,14.4
19790710,6,8.6,256,20.8,17.2,12.4,0,102370,15.6
19790711,7,0.6,107,25.1,17.4,14,0,102180,18.8
19790712,4,13,304,26.2,18.4,11.6,0,101840,15.3
19790713,3,10.3,278,22.1,19.3,12.4,0,102060,13.2
19790714,5,11.2,289,21.1,17.6,13,0,102640,15
19790715,7,4.5,190,23.6,18.3,15.5,0,102730,19.2
19790716,7,3.1,165,26.7,17.8,12.1,0,102370,
19790717,3,11.9,296,21.8,20,13.4,0,102030,8.4
19790718,6,0.6,105,17.7,18.9,16,0,101360,6.2
19790719,8,0.7,108,21.5,15.8,14,0,101400,6.2
19790720,6,8.7,252,19.5,17.6,13.6,0,101450,9.3
19790721,6,3.5,170,18.1,16.2,13,0,101380,9.5
19790722,6,0.1,84,18.7,13.8,9.4,0,102260,11.2
19790723,7,0.4,97,21.1,15.8,12.9,0,102440,18.5
19790724,6,2.3,145,25.2,16.7,12.3,8.5,102050,18.7
19790725,5,5.8,206,27.1,18.9,12.6,0,101860,15.1
19790726,6,10.7,274,29.9,20.2,13.2,0,101970,7.3
19790727,5,11.3,280,27.4,22.2,14.6,0,102060,8.1
19790728,5,5.8,204,19.8,21.9,16.4,8,101890,10
19790729,6,0.9,110,21.5,18.6,17.3,0.1,101070,12
19790730,6,0.7,103,20.8,17.8,14.1,2.4,100830,11.9
19790731,6,5.9,203,23.1,17.8,14.8,2.2,100220,10.6
19790801,5,6.1,205,21.6,18.6,14.1,0,100070,11.8
19790802,5,5.3,192,20,17.8,14,1,100530,12.4
19790803,6,4.2,174,21.6,17,14,3,101320,16.7
19790804,6,7.2,219,22.5,17.9,14.2,0,102030,11.7
19790805,6,9.7,251,24.8,17,11.4,0,101900,11.7
19790806,6,5.5,192,23.1,19.2,13.6,0.2,101360,8.4
19790807,7,3.2,153,20.1,19.6,16.1,0,100740,12
19790808,6,2.7,144,20.1,15.7,11.3,11,101090,11.9
19790809,6,3.3,154,20,16.6,13,3.1,100340,6.1
19790810,6,5.5,188,23.6,15,9.9,0.3,101470,11.6
19790811,6,5.5,187,25,19.3,15,0.9,101570,14.8
19790812,6,1.5,116,21.5,20.6,16.3,0,101800,3.8
19790813,8,0.2,79,20.4,19.2,16.9,1.2,101450,7.2
19790814,6,8.1,220,21.3,18.6,16.7,0,100190,7.7
19790815,4,9.1,232,21,16,10.7,0,101210,19.8
19790816,5,6.2,192,18.3,15.4,9.8,5.8,101370,17
19790817,7,0.7,93,18.2,16,13.7,2.3,100550,
19790818,7,0.1,72,19.8,15.4,12.7,0,101440,18
19790819,6,0.6,89,22.8,16.6,13.4,0,101680,10.9
19790820,6,6.4,190,19.8,17.4,11.9,2.3,101820,13.3
19790821,5,9.9,233,19.6,16.6,13.4,0.2,101480,8.2
19790822,4,8.1,210,16.1,14.8,10,0,101380,11.7
19790823,4,5.4,173,16.9,12.4,8.8,2.1,100820,7.5
19790824,6,2.7,130,18.3,13.3,9.7,0,100940,17.9
19790825,6,2.5,126,18.7,13.2,8,0,101080,10.9
19790826,5,7.4,196,17.4,14.6,10.5,0,101520,19.6
19790827,4,8.3,205,21.8,13.4,9.4,0,102080,10.6
19790828,0,12.5,251,23.9,13.8,5.7,0,102530,11.2
19790829,4,12,244,26,16.4,9,0,102560,10.6
19790830,3,10.6,227,23.1,18.8,11.7,0,102090,7.3
19790831,6,0.8,86,22.8,18,13,0,102000,10.6
19790901,6,4.6,145,21.6,19.1,15.4,3.6,101790,9.4
19790902,6,6.3,166,19.4,18.3,15,0.9,101410,14.4
19790903,7,1.6,97,21.7,16.2,13.1,0,101660,13.5
19790904,4,8,182,23.6,16.1,10.5,0,102500,12.1
19790905,0,11.3,215,25.9,16.8,10,0,101980,8
19790906,2,8.5,185,21.9,19.2,12.6,0,101150,13.2
19790907,4,8.6,184,24.3,17.2,12.5,0,101770,18
19790908,,5.9,153,21.8,17.9,11.5,0,101870,13.2
19790909,6,3.7,124,21.2,18.5,15.2,0,101990,10.8
19790910,7,3.9,125,23.2,17.7,14.2,0,102460,6.5
19790911,2,9.5,187,17.4,16.8,10.3,0,102250,5.7
19790912,4,2.4,102,18.5,13.6,9.8,0,101910,9.4
19790913,4,9.9,187,18.2,15.4,12.4,0,101880,15.7
19790914,4,7.1,157,17.4,11.4,4.7,0,102260,9.7
19790915,3,10.6,190,20.2,11.7,6,0,102860,11.8
19790916,1,11.2,194,21.2,13.6,6.9,0,102530,10.8
19790917,4,5.2,132,20.4,15.4,9.6,0,101540,20
19790918,8,0,46,18.3,16.3,12.2,5.5,101230,10.5
19790919,8,0,46,17.6,17.4,16.4,7,101340,11.7
19790920,3,10.9,184,15.5,14.2,10.7,0,101240,9.7
19790921,3,6.4,139,14.2,10.5,5.5,3.3,101680,9.4
19790922,2,9.3,166,14.7,9.2,4.3,0,102230,10.8
19790923,5,0.5,59,16.6,9.5,4.3,0.3,102270,11.3
19790924,5,7.9,149,18.6,12.1,7.6,0,102350,14.3
19790925,8,0.6,60,21,13.5,8.4,0,102100,10.9
19790926,7,1.4,73,17.7,17.2,13.5,0.2,101880,10.8
19790927,6,6.5,131,17.4,15.4,13.2,0,102590,
19790928,4,7.4,138,17.1,12.5,7.6,0,103190,17.9
19790929,5,6.9,132,18.7,12,6.8,0,102800,13.4
19790930,6,1.5,71,19,14.4,10.1,0,102070,11.5
19791001,5,4.6,107,20.5,14.3,9.6,0,101850,7.8
19791002,5,6.3,122,20.1,13.6,6.7,0,101820,8.3
19791003,7,0.7,55,17,15.7,11.3,0.9,101170,16.8
19791004,7,1.8,71,17.1,15.6,14.3,0,100500,13
19791005,3,9.1,141,18.8,11.6,6.1,0,100880,14.6
19791006,6,5.4,108,19.9,13.2,7.7,2.1,100920,15.8
19791007,5,5.7,109,21.7,15.9,11.9,0,101140,14.1
19791008,7,5.3,104,21.1,16.3,10.9,10.5,101390,8.3
19791009,7,3.9,90,16.7,18.2,15.2,9.1,100910,11.4
19791010,8,0,33,18.4,15.6,14.4,11.9,100280,13.4
19791011,5,7.1,115,19.2,14.4,10.5,0.1,100310,20.2
19791012,5,6,105,18.1,14.6,10,0.3,99820,18.7
19791013,6,2.4,70,17.3,15.6,13,0,99350,7.9
19791014,5,5.3,96,17.9,13.1,8.9,0,99510,2.4
19791015,,2.7,71,16,12.4,7,0,99970,8.8
19791016,7,3.1,74,16,12.6,9.2,0,101160,6.5
19791017,7,1.7,58,15.8,12.6,9.1,1,102210,10
19791018,3,9.5,121,18,12.2,8.6,0,102730,12.3
19791019,6,5.7,93,14.4,13.4,8.8,0,102560,11.7
19791020,7,0.6,41,15,12.4,10.5,0,102690,6.8
19791021,4,3.7,74,13.8,10.6,6.3,0,102730,5.1
19791022,4,3.9,74,11.8,11.2,8.5,0,102300,7.5
19791023,6,4.3,77,13.7,9,6.1,0,101820,1.8
19791024,6,2.3,58,13.6,10.8,7.8,7.3,101330,15.2
19791025,8,0,26,12.9,11.6,9.6,18.8,100710,18.3
19791026,8,0,25,12.4,11.6,10.2,3.1,100740,23.6
19791027,3,6.1,85,10.6,9.1,5.8,0,100950,17.3
19791028,3,4.3,71,12.1,5.8,0.9,0,100830,16.6
19791029,4,8,95,14.3,7.7,3.3,0,100930,19.6
19791030,7,0,24,14.9,8.5,2.7,3.6,101050,25.3
19791031,5,5.4,76,13.9,11.2,7.5,0,100710,30
19791101,4,3.6,62,13.2,10,6.2,0,101480,20.6
19791102,4,7.6,87,15.1,7.5,1.8,5.4,102630,21.5
19791103,8,0,22,15.1,9.9,4.7,0.3,102310,19.3
19791104,7,0,22,12.5,12.8,10.6,0.8,101320,13.1
19791105,4,4.9,67,13.1,10,7.4,3.4,100580,5.9
19791106,8,0.1,24,13.8,10.8,8.6,4.8,100010,16.6
19791107,6,0,21,9.6,10.2,6.5,3.6,100200,13.2
19791108,7,0,20,9.5,6.8,4,0.6,100510,10.8
19791109,3,5.5,67,9.1,6.2,2.8,2.3,100930,
19791110,1,7.5,77,11,3.6,-1.8,0,102230,17.6
19791111,7,0.2,24,7.4,5.7,0.4,9.2,101740,14.1
19791112,5,3.4,51,6.5,5.6,3.7,0,100810,22.3
19791113,4,6.2,67,7.3,2.4,-1.8,2.6,100890,13.5
19791114,8,0.1,21,5.8,3.3,-0.7,1.2,99310,4.4
19791115,8,0.1,21,6.2,4.4,3.1,1.4,99210,1.5
19791116,7,0,18,8.5,4.4,2.5,0.5,99890,4.7
19791117,,0,17,10,4.8,1.2,0.9,100840,14.1
19791118,4,6.5,64,9.8,6,2,0,100570,15
19791119,4,2.3,39,6.4,6.2,2.5,0,101710,13.8
19791120,,0,17,6.4,3.4,0.5,0,102950,15.5
19791121,,0,16,10.2,3,-0.4,0.2,103390,9.5
19791122,8,0,16,11.3,5,-0.3,0.1,102890,13.1
19791123,7,0.2,20,8.5,8.8,6.2,0.1,102160,24.8
19791124,2,5.6,55,14,4.4,0.2,0,102200,6.6
19791125,6,0,15,15,7.6,1.3,0,102110,10.5
19791126,8,0,15,14.5,11.3,7.6,10.8,101530,18.3
19791127,7,0.2,19,12.9,11.2,8,0,102290,25
19791128,4,2.4,36,12.4,11.4,9.8,0,102590,11.6
19791129,4,1.1,27,14.4,8.2,4,0.1,102270,20.6
19791130,6,0.6,22,13.5,10,5.6,0,101670,19.2
19791201,6,2.9,36,14.2,11.2,9,0,101950,
19791202,8,0,13,13.3,11.8,9.4,0.6,101870,22.1
19791203,4,3.1,36,14.1,10.4,7.6,0,102150,13.5
19791204,6,0.7,21,15.6,9.8,5.6,0,102280,13.3
19791205,8,0,13,14.7,12.2,8.8,4.1,101550,21.1
19791206,8,0,13,13.6,11.7,8.7,0,102250,18.6
19791207,7,0,13,11.7,11.9,10.2,1.8,101440,21
19791208,7,0,13,14.3,11.2,10.7,2,100880,17.9
19791209,7,0.4,18,11.2,11.4,8.4,8.6,99490,24.7
19791210,4,3.8,38,8.4,9.6,8,6.7,98860,20
19791211,6,0,12,11.9,7.6,6.7,0.7,99040,24.5
19791212,5,0,12,11.7,6.8,1.8,2,101150,26.3
19791213,5,3,33,11.4,7.5,3.3,13.8,100200,19.8
19791214,6,4.4,40,8,7.9,4.4,3.7,99130,25.7
19791215,6,0.8,20,10.5,6.8,5.7,0.3,98480,17.5
19791216,5,0.4,17,8,6.8,3,0,100480,12.9
19791217,5,0.2,15,6.7,5.7,3.4,0.2,100620,8.7
19791218,5,0.3,16,5.3,5.3,3.9,3.1,101040,8
19791219,5,3.4,35,5,3.6,1.9,0.4,101770,12.2
19791220,5,2.3,29,3.9,3.4,1.7,0,102450,10.2
19791221,5,2.9,32,3.2,2.8,1.7,1.6,102040,15.8
19791222,8,0,12,2.7,1.3,-0.6,0.7,100910,12.8
19791223,8,0,12,4.8,2,1.3,0.2,100290,14.6
19791224,6,0,12,5.3,2.7,0.6,0,101290,13.4
19791225,1,5.4,44,7.8,0.4,-4.4,0.1,102320,18.3
19791226,5,0.5,18,11.2,1.8,-4.2,4.3,102320,26.7
19791227,8,0,12,7.1,6.9,2.6,35.6,100380,23.2
19791228,6,2,28,6.2,4.1,1.1,0.2,100250,14.7
19791229,4,5.5,45,4.4,4,1.7,0.1,,12.8
19791230,2,2.2,29,4.3,1.8,-0.8,0,100350,10.8
19791231,3,5.4,45,1,1.4,-1.5,0,101380,12.9
19800101,4,0.1,14,2.3,-1.8,-4.6,0,101400,15.4
19800102,2,6.7,51,10.9,-1.8,-6,0.2,102440,17.4
19800103,8,0,13,9.7,2.6,-5.7,9.9,101850,21.3
19800104,5,3.8,39,8,5.2,0.8,0,100510,16.5
19800105,4,1,23,8.4,4.8,1.6,0,100660,15.7
19800106,6,3.2,36,6.5,5.8,3.3,0,101120,11.6
19800107,6,0.7,21,5,5.2,3.9,0,101730,13.4
19800108,7,0,13,4.9,3.8,2.6,0.1,102230,13.8
19800109,6,0.4,19,3.9,2.6,0.3,0,101980,14.3
19800110,6,0,14,3.6,2.7,1.5,0,102890,9.9
19800111,6,0.7,22,2.5,1.6,-0.3,0,103860,25.2
19800112,4,0,14,3,0.4,-1.8,0,104280,31.4
19800113,2,5.9,52,0.8,0.2,-2.6,0,103670,28.5
19800114,7,2.9,38,3.8,-1.5,-3.8,0,102090,18.9
19800115,7,0.1,17,5.5,-0.1,-4,0.1,101540,18.9
19800116,4,2.5,36,4.6,3,0.5,0,102000,20.2
19800117,4,6.3,57,2,2.4,0.2,0,101940,7.9
19800118,7,0,15,4.8,1.2,0.5,0,101220,7.8
19800119,8,0,16,6.7,1.8,-1.2,0.4,100550,7.9
19800120,4,3.7,45,8.8,4.2,1.6,7.9,100470,7.4
19800121,7,0.7,25,9.1,4.8,0.8,2.3,98930,
19800122,4,4.8,53,9.1,6.4,3.7,0.3,98960,10.9
19800123,5,6.3,61,8,6.1,3.1,0,99430,12.7
19800124,1,7.1,66,8,3.5,-1,0,100300,19.1
19800125,2,6.6,64,5.1,3.1,-1.8,0,101770,21.7
19800126,3,2.9,44,3.2,1.6,-1.8,0,102730,15.8
19800127,4,0.6,26,6.1,-0.5,-4.2,0,103100,12.6
19800128,7,0.1,20,9,1.6,-3,0,102310,15.4
19800129,8,0.4,25,11.4,6,3,0.2,101610,5.2
19800130,6,4.2,55,10.1,7.6,3.9,5,100480,
19800131,7,0.7,29,8.5,8.2,6.2,3.3,98510,10
19800201,6,2.5,45,10.2,3.2,-2.1,3,100900,9.5
19800202,7,0.9,32,10.4,4.9,-0.4,2,100130,7.8
19800203,6,0,20,10.1,6.7,3,5.3,100300,11.3
19800204,7,0,20,10.6,5.8,1.4,4.8,100320,14.9
19800205,7,0,21,8.1,6.2,1.7,0.4,99670,13.5
19800206,7,0,21,9.5,6.4,4.8,4.3,100400,17.5
19800207,8,0.3,28,11.3,6.7,3.9,2,101010,25.8
19800208,8,0.1,25,11.7,7.6,3.9,0.4,101190,16.4
19800209,7,0,22,11.2,9.6,7.4,0,100680,16.8
19800210,3,8.4,92,11.8,7.4,3.7,0,101670,9.8
19800211,6,3.9,64,10.9,7.6,3.5,0,102590,14.5
19800212,7,3.5,62,8.5,7.3,3.7,0,102540,23.6
19800213,7,0.3,31,9.2,6.4,4.4,0,101910,17.6
19800214,8,0,24,12.6,7.2,5.1,1.3,101890,12.2
19800215,5,5.8,82,8.5,9.4,6.3,0.6,101440,12
19800216,6,0,25,12.8,6,3.5,2.6,101810,7.3
19800217,5,2.4,57,11.1,8.2,3.5,0,102530,10.3
19800218,6,3.4,67,11,7.6,4.1,0,102180,8.9
19800219,7,2.3,58,11.1,7.6,4.3,0,101620,3
19800220,6,1.1,46,10.3,6.4,1.6,0,101450,11.1
19800221,8,0,28,9.4,6.6,3,1.8,101620,10.2
19800222,6,0.6,40,9.2,8.6,7.9,5.7,101670,13.9
19800223,5,1.8,56,6.7,5.4,1.7,0.2,102570,16.4
19800224,6,0,29,9.7,4,1.4,2.4,102720,19.8
19800225,4,5.5,92,6.2,5.7,1.7,0,102510,17.3
19800226,3,1.5,55,6.8,1.9,-2.4,0,103090,14.3
19800227,8,0,31,9.4,2.8,-1.1,0,103500,15.1
19800228,6,6.4,103,11.3,5.5,1.6,0,103660,11.7
19800229,7,1.5,58,10,7.2,3.1,0,103190,18.8
19800301,7,0,35,10.3,7.4,4.8,0,102780,14.7
